sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
827,24811,,1756493132487260,,,,1756493132507322,1756493134327328,0,0,59113,1820006,1760893,58464,18,1920,1080,yolov5s,local
844,25321,,1756493134215367,,,,1756493134231085,1756493136075599,0,0,59099,1844514,1785415,57134,18,1920,1080,yolov5s,local
862,25861,,1756493136036685,,,,1756493136054180,1756493137883065,0,0,56980,1828885,1771905,57562,26,1920,1080,yolov5s,local
879,26371,,1756493137763623,,,,1756493137777359,1756493139632799,0,0,70402,1855440,1785038,56716,17,1920,1080,yolov5s,local
897,26911,,1756493139585114,,,,1756493139602064,1756493141432471,0,0,67572,1830407,1762835,56259,13,1920,1080,yolov5s,local
914,27421,,1756493141309671,,,,1756493141327239,1756493143186110,0,0,69000,1858871,1789871,57467,20,1920,1080,yolov5s,local
932,27961,,1756493143140955,,,,1756493143152234,1756493144976793,0,0,52146,1824559,1772413,57662,22,1920,1080,yolov5s,local
949,28471,,1756493144861137,,,,1756493144877356,1756493146735852,0,0,81790,1858496,1776706,58713,25,1920,1080,yolov5s,local
967,29011,,1756493146689699,,,,1756493146704736,1756493148532155,0,0,55573,1827419,1771846,56852,18,1920,1080,yolov5s,local
984,29521,,1756493148411076,,,,1756493148427344,1756493150272679,0,0,80775,1845335,1764560,56166,13,1920,1080,yolov5s,local
1002,61,,1756493150233830,,,,1756493150251008,1756493152045947,0,0,26004,1794939,1768935,59277,25,1920,1080,yolov5s,local
1019,571,,1756493151958664,,,,1756493151972368,1756493153829077,0,0,69943,1856709,1786766,58911,19,1920,1080,yolov5s,local
1037,1111,,1756493153778649,,,,1756493153796087,1756493155626099,0,0,53498,1830012,1776514,57896,15,1920,1080,yolov5s,local
1054,1621,,1756493155504178,,,,1756493155521521,1756493157384025,0,0,84592,1862504,1777912,58347,11,1920,1080,yolov5s,local
1072,2161,,1756493157329600,,,,1756493157346790,1756493159175245,0,0,49732,1828455,1778723,61253,20,1920,1080,yolov5s,local
1089,2671,,1756493159054579,,,,1756493159070319,1756493160931094,0,0,92922,1860775,1767853,61861,25,1920,1080,yolov5s,local
1107,3211,,1756493160874431,,,,1756493160894936,1756493162724960,0,0,40179,1830024,1789845,59962,25,1920,1080,yolov5s,local
1124,3721,,1756493162603740,,,,1756493162619540,1756493164535248,0,0,132120,1915708,1783588,58808,17,1920,1080,yolov5s,local
1142,4261,,1756493164431186,,,,1756493164443182,1756493166299705,0,0,61895,1856523,1794628,58872,14,1920,1080,yolov5s,local
1160,4801,,1756493166248893,,,,1756493166265432,1756493168093620,0,0,56010,1828188,1772178,58269,14,1920,1080,yolov5s,local
1177,5311,,1756493167970511,,,,1756493167988369,1756493169920508,0,0,138853,1932139,1793286,59095,14,1920,1080,yolov5s,local
1195,5851,,1756493169795561,,,,1756493169815210,1756493171646297,0,0,75259,1831087,1755828,57813,12,1920,1080,yolov5s,local
1212,6361,,1756493171525121,,,,1756493171540346,1756493173405168,0,0,82051,1864822,1782771,56632,15,1920,1080,yolov5s,local
1230,6901,,1756493173350436,,,,1756493173367640,1756493175184856,0,0,50406,1817216,1766810,58825,20,1920,1080,yolov5s,local
1247,7411,,1756493175071024,,,,1756493175088403,1756493177017247,0,0,142511,1928844,1786333,56978,13,1920,1080,yolov5s,local
1265,7951,,1756493176896175,,,,1756493176912590,1756493178732679,0,0,49574,1820089,1770515,57495,19,1920,1080,yolov5s,local
1282,8461,,1756493178618483,,,,1756493178635474,1756493180566808,0,0,140725,1931334,1790609,57977,20,1920,1080,yolov5s,local
1300,9001,,1756493180448334,,,,1756493180462758,1756493182290654,0,0,61236,1827896,1766660,56858,12,1920,1080,yolov5s,local
1317,9511,,1756493182170263,,,,1756493182186647,1756493184093919,0,0,124250,1907272,1783022,57983,18,1920,1080,yolov5s,local
1335,10051,,1756493183992183,,,,1756493184009296,1756493185852138,0,0,62035,1842842,1780807,56556,17,1920,1080,yolov5s,local
1353,10591,,1756493185817885,,,,1756493185835200,1756493187661166,0,0,42817,1825966,1783149,59327,19,1920,1080,yolov5s,local
1370,11101,,1756493187541494,,,,1756493187556540,1756493189406632,0,0,79902,1850092,1770190,58737,19,1920,1080,yolov5s,local
1388,11641,,1756493189364817,,,,1756493189380796,1756493191209616,0,0,42549,1828820,1786271,59587,20,1920,1080,yolov5s,local
1405,12151,,1756493191087697,,,,1756493191104422,1756493192961099,0,0,88399,1856677,1768278,58092,13,1920,1080,yolov5s,local
1423,12691,,1756493192912970,,,,1756493192930102,1756493194757359,0,0,42678,1827257,1784579,57160,13,1920,1080,yolov5s,local
1440,13201,,1756493194635235,,,,1756493194652361,1756493196582491,0,0,156591,1930130,1773539,57416,13,1920,1080,yolov5s,local
1458,13741,,1756493196464289,,,,1756493196478794,1756493198284074,0,0,44247,1805280,1761033,57343,12,1920,1080,yolov5s,local
1475,14251,,1756493198187962,,,,1756493198203715,1756493200051764,0,0,78252,1848049,1769797,58087,18,1920,1080,yolov5s,local
1493,14791,,1756493200009488,,,,1756493200029136,1756493201837360,0,0,25357,1808224,1782867,57879,20,1920,1080,yolov5s,local
1510,15301,,1756493201737473,,,,1756493201751894,1756493203611274,0,0,83062,1859380,1776318,58152,16,1920,1080,yolov5s,local
1528,15841,,1756493203556946,,,,1756493203574204,1756493205405063,0,0,46467,1830859,1784392,59475,24,1920,1080,yolov5s,local
1545,16351,,1756493205282835,,,,1756493205300000,1756493207164343,0,0,95840,1864343,1768503,57478,17,1920,1080,yolov5s,local
1563,16891,,1756493207107760,,,,1756493207124384,1756493208937893,0,0,43841,1813509,1769668,59225,25,1920,1080,yolov5s,local
1580,17401,,1756493208832443,,,,1756493208849742,1756493210706493,0,0,85736,1856751,1771015,59630,17,1920,1080,yolov5s,local
1598,17941,,1756493210656830,,,,1756493210674320,1756493212508212,0,0,61807,1833892,1772085,60577,28,1920,1080,yolov5s,local
1615,18451,,1756493212386970,,,,1756493212400206,1756493214273834,0,0,81867,1873628,1791761,58196,18,1920,1080,yolov5s,local
1633,18991,,1756493214209375,,,,1756493214226792,1756493216055885,0,0,63543,1829093,1765550,58452,15,1920,1080,yolov5s,local
1650,19501,,1756493215934528,,,,1756493215951271,1756493217881642,0,0,144651,1930371,1785720,59529,16,1920,1080,yolov5s,local
1668,20041,,1756493217759508,,,,1756493217776569,1756493219603966,0,0,49424,1827397,1777973,58394,19,1920,1080,yolov5s,local
1685,20551,,1756493219485634,,,,1756493219502231,1756493221431659,0,0,149363,1929428,1780065,58737,20,1920,1080,yolov5s,local
1703,21091,,1756493221309897,,,,1756493221326107,1756493223155878,0,0,58307,1829771,1771464,59031,21,1920,1080,yolov5s,local
1720,21601,,1756493223031078,,,,1756493223048374,1756493224951561,0,0,133769,1903187,1769418,58424,20,1920,1080,yolov5s,local
1738,22141,,1756493224857570,,,,1756493224874724,1756493226703297,0,0,59802,1828573,1768771,57744,14,1920,1080,yolov5s,local
1755,22651,,1756493226582200,,,,1756493226598554,1756493228528309,0,0,136056,1929755,1793699,56623,18,1920,1080,yolov5s,local
1773,23191,,1756493228408191,,,,1756493228424798,1756493230258808,0,0,61435,1834010,1772575,58512,17,1920,1080,yolov5s,local
1791,23731,,1756493230232999,,,,1756493230247554,1756493232074869,0,0,31145,1827315,1796170,56980,12,1920,1080,yolov5s,local
1808,24241,,1756493231950626,,,,1756493231970392,1756493233822954,0,0,85610,1852562,1766952,57924,19,1920,1080,yolov5s,local
1826,24781,,1756493233777584,,,,1756493233797233,1756493235605295,0,0,28542,1808062,1779520,58331,19,1920,1080,yolov5s,local
1843,25291,,1756493235505638,,,,1756493235521580,1756493237372040,0,0,80910,1850460,1769550,57946,20,1920,1080,yolov5s,local
1861,25831,,1756493237330707,,,,1756493237347240,1756493239169205,0,0,27678,1821965,1794287,56893,21,1920,1080,yolov5s,local
1878,26341,,1756493239050967,,,,1756493239067108,1756493240997304,0,0,161119,1930196,1769077,56735,16,1920,1080,yolov5s,local
1896,26881,,1756493240870673,,,,1756493240890936,1756493242721830,0,0,65994,1830894,1764900,56782,14,1920,1080,yolov5s,local
1913,27391,,1756493242600684,,,,1756493242617843,1756493244470743,0,0,83467,1852900,1769433,57099,17,1920,1080,yolov5s,local
1931,27931,,1756493244426329,,,,1756493244440279,1756493246271025,0,0,45645,1830746,1785101,58663,21,1920,1080,yolov5s,local
1948,28441,,1756493246149157,,,,1756493246165475,1756493248027609,0,0,91196,1862134,1770938,58686,24,1920,1080,yolov5s,local
1966,28981,,1756493247972833,,,,1756493247989425,1756493249811943,0,0,41125,1822518,1781393,57157,20,1920,1080,yolov5s,local
1983,29491,,1756493249697584,,,,1756493249714848,1756493251577015,0,0,94273,1862167,1767894,55933,12,1920,1080,yolov5s,local
2001,31,,1756493251518062,,,,1756493251538522,1756493253375861,0,0,38937,1837339,1798402,58702,22,1920,1080,yolov5s,local
2019,571,,1756493253347360,,,,1756493253364314,1756493255159873,0,0,28792,1795559,1766767,58911,19,1920,1080,yolov5s,local
2036,1081,,1756493255071189,,,,1756493255086666,1756493256917275,0,0,74707,1830609,1755902,57664,14,1920,1080,yolov5s,local
2053,1591,,1756493256795427,,,,1756493256812082,1756493258672057,0,0,87363,1859975,1772612,58357,13,1920,1080,yolov5s,local
2071,2131,,1756493258621644,,,,1756493258638830,1756493260467271,0,0,43169,1828441,1785272,61219,22,1920,1080,yolov5s,local
2088,2641,,1756493260347149,,,,1756493260363718,1756493262219126,0,0,94309,1855408,1761099,63365,29,1920,1080,yolov5s,local
2106,3181,,1756493262169216,,,,1756493262185921,1756493264013594,0,0,45915,1827673,1781758,59082,20,1920,1080,yolov5s,local
2123,3691,,1756493263888458,,,,1756493263908735,1756493265762178,0,0,92574,1853443,1760869,58801,17,1920,1080,yolov5s,local
2141,4231,,1756493265717131,,,,1756493265734217,1756493267562037,0,0,48840,1827820,1778980,59102,15,1920,1080,yolov5s,local
2158,4741,,1756493267439324,,,,1756493267456450,1756493269301195,0,0,85424,1844745,1759321,58126,12,1920,1080,yolov5s,local
2176,5281,,1756493269266465,,,,1756493269282472,1756493271111549,0,0,36171,1829077,1792906,59831,18,1920,1080,yolov5s,local
2193,5791,,1756493270988825,,,,1756493271006467,1756493272857310,0,0,88904,1850843,1761939,57571,16,1920,1080,yolov5s,local
2211,6331,,1756493272812261,,,,1756493272832412,1756493274632298,0,0,27216,1799886,1772670,57136,13,1920,1080,yolov5s,local
2228,6841,,1756493274540988,,,,1756493274557740,1756493276394050,0,0,73001,1836310,1763309,58064,19,1920,1080,yolov5s,local
2246,7381,,1756493276365956,,,,1756493276383267,1756493278200569,0,0,42862,1817302,1774440,57159,14,1920,1080,yolov5s,local
2263,7891,,1756493278091038,,,,1756493278105652,1756493279942262,0,0,65705,1836610,1770905,57799,18,1920,1080,yolov5s,local
2280,8401,,1756493279811950,,,,1756493279829088,1756493281758788,0,0,151208,1929700,1778492,58062,23,1920,1080,yolov5s,local
2298,8941,,1756493281638554,,,,1756493281655729,1756493283484176,0,0,62758,1828447,1765689,57486,13,1920,1080,yolov5s,local
2315,9451,,1756493283364246,,,,1756493283377337,1756493285306392,0,0,147976,1929055,1781079,57740,15,1920,1080,yolov5s,local
2333,9991,,1756493285184967,,,,1756493285201441,1756493287036105,0,0,66310,1834664,1768354,56090,13,1920,1080,yolov5s,local
2350,10501,,1756493286909519,,,,1756493286926095,1756493288849577,0,0,140003,1923482,1783479,58209,18,1920,1080,yolov5s,local
2368,11041,,1756493288733926,,,,1756493288749965,1756493290596285,0,0,67485,1846320,1778835,59192,17,1920,1080,yolov5s,local
2386,11581,,1756493290560675,,,,1756493290576678,1756493292403319,0,0,62986,1826641,1763655,60155,21,1920,1080,yolov5s,local
2403,12091,,1756493292281132,,,,1756493292298134,1756493294127210,0,0,71150,1829076,1757926,57828,13,1920,1080,yolov5s,local
2420,12601,,1756493294003074,,,,1756493294022885,1756493295879051,0,0,95887,1856166,1760279,57050,15,1920,1080,yolov5s,local
2438,13141,,1756493295828668,,,,1756493295845388,1756493297656261,0,0,45747,1810873,1765126,57281,13,1920,1080,yolov5s,local
2455,13651,,1756493297553600,,,,1756493297568541,1756493299431830,0,0,76167,1863289,1787122,57681,18,1920,1080,yolov5s,local
2473,14191,,1756493299376494,,,,1756493299391317,1756493301199793,0,0,43554,1808476,1764922,57780,15,1920,1080,yolov5s,local
2490,14701,,1756493301097332,,,,1756493301113667,1756493302966199,0,0,83694,1852532,1768838,57749,20,1920,1080,yolov5s,local
2508,15241,,1756493302920605,,,,1756493302939529,1756493304766902,0,0,64932,1827373,1762441,58784,19,1920,1080,yolov5s,local
2525,15751,,1756493304645597,,,,1756493304661957,1756493306492980,0,0,67263,1831023,1763760,59134,20,1920,1080,yolov5s,local
2543,16291,,1756493306466829,,,,1756493306486376,1756493308294871,0,0,11525,1808495,1796970,58112,259,1920,1080,yolov5s,local
2560,16801,,1756493308192174,,,,1756493308208452,1756493310008623,0,0,82813,1800171,1717358,59141,135,1920,1080,yolov5s,local
2594,17821,,1756493311636141,,,,1756493311653075,1756493313463812,0,0,97310,1810737,1713427,61218,130,1920,1080,yolov5s,local
2628,18841,,1756493315083398,,,,1756493315100552,1756493316930134,0,0,104043,1829582,1725539,59932,124,1920,1080,yolov5s,local
2645,19351,,1756493316808501,,,,1756493316825155,1756493318660546,0,0,100801,1835391,1734590,59344,211,1920,1080,yolov5s,local
2662,19861,,1756493318534956,,,,1756493318546866,1756493320388785,0,0,111932,1841919,1729987,59654,195,1920,1080,yolov5s,local
2680,20401,,1756493320356793,,,,1756493320372821,1756493322100776,0,0,29808,1727955,1698147,58538,0,1920,1080,yolov5s,local
2696,20881,,1756493321980516,,,,1756493321996001,1756493323877698,0,0,94505,1881697,1787192,57424,413,1920,1080,yolov5s,local
2714,21421,,1756493323802781,,,,1756493323820988,1756493325622370,0,0,54708,1801382,1746674,59163,255,1920,1080,yolov5s,local
2731,21931,,1756493325527954,,,,1756493325545095,1756493327362593,0,0,77040,1817498,1740458,57361,217,1920,1080,yolov5s,local
2748,22441,,1756493327250454,,,,1756493327267610,1756493329097084,0,0,94692,1829474,1734782,58280,210,1920,1080,yolov5s,local
2765,22951,,1756493328973920,,,,1756493328990385,1756493330821634,0,0,108124,1831249,1723125,57366,144,1920,1080,yolov5s,local
2782,23461,,1756493330695311,,,,1756493330712567,1756493332515902,0,0,108370,1803335,1694965,57167,0,1920,1080,yolov5s,local
2799,23971,,1756493332419003,,,,1756493332436062,1756493334305206,0,0,79339,1869144,1789805,57760,395,1920,1080,yolov5s,local
2817,24511,,1756493334246097,,,,1756493334263186,1756493336091626,0,0,75585,1828440,1752855,57416,275,1920,1080,yolov5s,local
2834,25021,,1756493335973332,,,,1756493335987831,1756493337787361,0,0,74239,1799530,1725291,56685,153,1920,1080,yolov5s,local
2851,25531,,1756493337694383,,,,1756493337711235,1756493339540793,0,0,79090,1829558,1750468,58333,262,1920,1080,yolov5s,local
2885,26551,,1756493341145352,,,,1756493341159495,1756493343025186,0,0,90667,1865691,1775024,56827,359,1920,1080,yolov5s,local
2903,27091,,1756493342964729,,,,1756493342985342,1756493344745941,0,0,39215,1760599,1721384,56924,164,1920,1080,yolov5s,local
2920,27601,,1756493344691148,,,,1756493344707496,1756493346501753,0,0,53945,1794257,1740312,56959,209,1920,1080,yolov5s,local
2954,28621,,1756493348139587,,,,1756493348155237,1756493349940032,0,0,96245,1784795,1688550,58075,2,1920,1080,yolov5s,local
2971,29131,,1756493349865057,,,,1756493349881828,1756493351713323,0,0,111280,1831495,1720215,56579,142,1920,1080,yolov5s,local
3005,151,,1756493353315083,,,,1756493353331824,1756493355160539,0,0,53696,1828715,1775019,60166,306,1920,1080,yolov5s,local
3039,1171,,1756493356769502,,,,1756493356783064,1756493358629410,0,0,87658,1846346,1758688,57713,293,1920,1080,yolov5s,local
3074,2221,,1756493360313298,,,,1756493360329914,1756493362108285,0,0,47883,1778371,1730488,61167,154,1920,1080,yolov5s,local
3091,2731,,1756493362038203,,,,1756493362053312,1756493363883349,0,0,93321,1830037,1736716,60347,221,1920,1080,yolov5s,local
3125,3751,,1756493365485354,,,,1756493365502937,1756493367334769,0,0,64618,1831832,1767214,58055,318,1920,1080,yolov5s,local
3142,4261,,1756493367209803,,,,1756493367225854,1756493369095173,0,0,109327,1869319,1759992,58872,260,1920,1080,yolov5s,local
3160,4801,,1756493369036404,,,,1756493369051266,1756493370873758,0,0,76844,1822492,1745648,58269,224,1920,1080,yolov5s,local
3177,5311,,1756493370757075,,,,1756493370773831,1756493372603561,0,0,73651,1829730,1756079,59095,252,1920,1080,yolov5s,local
3194,5821,,1756493372477889,,,,1756493372497824,1756493374326150,0,0,101520,1828326,1726806,57861,194,1920,1080,yolov5s,local
3211,6331,,1756493374205932,,,,1756493374221568,1756493376149863,0,0,161333,1928295,1766962,57136,249,1920,1080,yolov5s,local
3229,6871,,1756493376029149,,,,1756493376045339,1756493377874832,0,0,58176,1829493,1771317,58583,260,1920,1080,yolov5s,local
3246,7381,,1756493377757799,,,,1756493377769914,1756493379625523,0,0,93404,1855609,1762205,57159,268,1920,1080,yolov5s,local
