sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
37,1111,,1756496266813669,1756496266813794,1756496266849636,1756496267247489,1756496266800160,1756496267267249,125,397853,69111,467089,397836,57896,18,1920,1080,yolov5m,offload
38,1141,,1756496267811854,1756496267811980,1756496267850717,1756496268247146,1756496267801353,1756496268339860,126,396429,141952,538507,396413,58015,20,1920,1080,yolov5m,offload
39,1171,,1756496268813159,1756496268813280,1756496268852366,1756496269244078,1756496268802923,1756496269363612,121,391712,168856,560689,391697,57713,20,1920,1080,yolov5m,offload
40,1201,,1756496269817849,1756496269817978,1756496269855049,1756496270302643,1756496269804407,1756496270322311,129,447594,70181,517904,447578,57794,17,1920,1080,yolov5m,offload
41,1231,,1756496270816663,1756496270816785,1756496270855749,1756496271351064,1756496270805378,1756496271370522,122,495315,69707,565144,495300,57665,17,1920,1080,yolov5m,offload
42,1261,,1756496271820596,1756496271820721,1756496271855493,1756496272255919,1756496271806575,1756496272333165,125,400426,126039,526590,400411,57769,18,1920,1080,yolov5m,offload
43,1291,,1756496272818462,1756496272818589,1756496272859185,1756496273274900,1756496272808216,1756496273359699,127,415715,135641,551483,415700,57597,18,1920,1080,yolov5m,offload
44,1321,,1756496273823002,1756496273823129,1756496273860066,1756496274320545,1756496273809729,1756496274381107,127,460479,110772,571378,460349,58178,24,1920,1080,yolov5m,offload
45,1351,,1756496274821258,1756496274821387,1756496274856017,1756496275264220,1756496274811172,1756496275302957,129,408203,83453,491785,408184,58443,22,1920,1080,yolov5m,offload
46,1381,,1756496275823295,1756496275823425,1756496275860534,1756496276325126,1756496275813054,1756496276429769,130,464592,151993,616715,464433,59230,25,1920,1080,yolov5m,offload
47,1411,,1756496276824701,1756496276824831,1756496276865215,1756496277323333,1756496276814759,1756496277342765,130,458118,69758,528006,458103,58810,19,1920,1080,yolov5m,offload
48,1441,,1756496277829771,1756496277829900,1756496277870304,1756496278335673,1756496277815855,1756496278375653,129,465369,94300,559798,465350,58266,23,1920,1080,yolov5m,offload
49,1471,,1756496278826564,1756496278826694,1756496278862135,1756496279255446,1756496278816673,1756496279296309,130,393311,86195,479636,393293,59062,21,1920,1080,yolov5m,offload
50,1501,,1756496279824074,1756496279824202,1756496279865920,1756496280288013,1756496279817431,1756496280320391,128,422093,80739,502960,422073,58823,24,1920,1080,yolov5m,offload
51,1531,,1756496280828327,1756496280828453,1756496280868926,1756496281331573,1756496280818510,1756496281351029,126,462647,69746,532519,462628,58738,23,1920,1080,yolov5m,offload
52,1561,,1756496281833124,1756496281833252,1756496281866322,1756496282315816,1756496281820084,1756496282368587,128,449494,98881,548503,449474,58704,21,1920,1080,yolov5m,offload
53,1591,,1756496282831393,1756496282831521,1756496282867041,1756496283331421,1756496282821634,1756496283392799,128,464380,106657,571165,464359,58357,24,1920,1080,yolov5m,offload
54,1621,,1756496283836157,1756496283836283,1756496283879132,1756496284270558,1756496283822862,1756496284313922,126,391426,99508,491060,391409,58347,17,1920,1080,yolov5m,offload
55,1651,,1756496284831071,1756496284831195,1756496284871148,1756496285303603,1756496284824038,1756496285338253,124,432455,81636,514215,432437,58256,21,1920,1080,yolov5m,offload
56,1681,,1756496285839231,1756496285839365,1756496285887956,1756496286352682,1756496285825344,1756496286465819,134,464726,175615,640475,464670,59229,24,1920,1080,yolov5m,offload
57,1711,,1756496286836403,1756496286836529,1756496286877297,1756496287331519,1756496286826760,1756496287350730,126,454222,69622,523970,454204,59468,25,1920,1080,yolov5m,offload
58,1741,,1756496287840703,1756496287840827,1756496287878706,1756496288315679,1756496287827788,1756496288410036,124,436973,145151,582248,436953,59515,25,1920,1080,yolov5m,offload
59,1771,,1756496288835662,1756496288835787,1756496288871737,1756496289246838,1756496288829056,1756496289331786,125,375101,127504,502730,375083,59841,24,1920,1080,yolov5m,offload
60,1801,,1756496289843631,1756496289843751,1756496289885486,1756496290303750,1756496289830866,1756496290323019,120,418264,73769,492153,418243,60339,25,1920,1080,yolov5m,offload
61,1831,,1756496290842014,1756496290842120,1756496290881366,1756496291342658,1756496290832107,1756496291361794,106,461292,68289,529687,461273,60233,23,1920,1080,yolov5m,offload
62,1861,,1756496291849191,1756496291849312,1756496291890054,1756496292353091,1756496291833884,1756496292403641,121,463037,106599,569757,463015,60742,29,1920,1080,yolov5m,offload
63,1891,,1756496292841042,1756496292841165,1756496292866719,1756496293320926,1756496292834661,1756496293340002,123,454207,51011,505341,454185,60692,27,1920,1080,yolov5m,offload
64,1921,,1756496293845597,1756496293845721,1756496293882480,1756496294297317,1756496293836094,1756496294349285,124,414837,98230,513191,414815,60640,30,1920,1080,yolov5m,offload
65,1951,,1756496294848870,1756496294848990,1756496294891278,1756496295296611,1756496294837638,1756496295476831,120,405333,233740,639193,405311,60710,27,1920,1080,yolov5m,offload
66,1981,,1756496295848407,1756496295848529,1756496295888118,1756496296341057,1756496295838760,1756496296398214,122,452939,106393,559454,452917,60639,31,1920,1080,yolov5m,offload
67,2011,,1756496296849578,1756496296849702,1756496296887478,1756496297336570,1756496296840264,1756496297421216,124,449092,131736,580952,449068,60929,27,1920,1080,yolov5m,offload
68,2041,,1756496297851673,1756496297851794,1756496297886301,1756496298332983,1756496297842289,1756496298445576,121,446682,156484,603287,446659,60568,28,1920,1080,yolov5m,offload
69,2071,,1756496298853473,1756496298853597,1756496298894458,1756496299337391,1756496298843791,1756496299366979,124,442933,80131,523188,442909,61046,31,1920,1080,yolov5m,offload
70,2101,,1756496299858355,1756496299858480,1756496299898957,1756496300310093,1756496299845046,1756496300390918,125,411136,134611,545872,411113,60860,31,1920,1080,yolov5m,offload
71,2131,,1756496300856568,1756496300856690,1756496300896712,1756496301329006,1756496300847008,1756496301347944,122,432294,68520,500936,432269,61219,34,1920,1080,yolov5m,offload
72,2161,,1756496301861393,1756496301861513,1756496301904480,1756496302301189,1756496301849026,1756496302336501,120,396709,90646,487475,396685,61253,36,1920,1080,yolov5m,offload
73,2191,,1756496302856808,1756496302856930,1756496302896084,1756496303316074,1756496302850850,1756496303464513,122,419990,193551,613663,419971,61031,28,1920,1080,yolov5m,offload
