sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
2,61,,1756498786251356,1756498786251479,1756498786321902,1756498786705932,1756498786222135,1756498786731653,123,384030,125365,509518,384006,59277,29,1920,1080,yolov5m,offload
7,211,,1756498786757494,1756498786757621,1756498786847073,1756498787138900,1756498786728651,1756498787136674,127,291827,116069,408023,291806,59839,27,1920,1080,yolov5m,offload
9,271,,1756498786959958,1756498786960083,1756498787140046,1756498787442541,1756498786931154,1756498787441024,125,302495,207250,509870,302473,60144,29,1920,1080,yolov5m,offload
13,391,,1756498787364938,1756498787365064,1756498787443674,1756498787749240,1756498787336119,1756498787744079,126,305566,102268,407960,305549,58963,24,1920,1080,yolov5m,offload
16,481,,1756498787668171,1756498787668294,1756498787750305,1756498788040001,1756498787639500,1756498788047946,123,289696,118627,408446,289675,58983,27,1920,1080,yolov5m,offload
18,541,,1756498787871938,1756498787872060,1756498788041120,1756498788361769,1756498787842795,1756498788352317,122,320649,188751,509522,320624,59086,33,1920,1080,yolov5m,offload
22,661,,1756498788276459,1756498788276582,1756498788362964,1756498788660562,1756498788247388,1756498788656192,123,297598,111083,408804,297573,60507,34,1920,1080,yolov5m,offload
25,751,,1756498788581500,1756498788581624,1756498788661212,1756498788947476,1756498788552740,1756498788935959,124,286264,96831,383219,286244,60760,27,1920,1080,yolov5m,offload
28,841,,1756498788885013,1756498788885139,1756498788947703,1756498789251792,1756498788855486,1756498789242682,126,304089,82981,387196,304070,60352,25,1920,1080,yolov5m,offload
30,901,,1756498789090351,1756498789090481,1756498789252869,1756498789553533,1756498789058134,1756498789523054,130,300664,164126,464920,300643,60208,29,1920,1080,yolov5m,offload
33,991,,1756498789392187,1756498789392314,1756498789554465,1756498789873725,1756498789362864,1756498789843476,127,319260,161225,480612,319241,58190,26,1920,1080,yolov5m,offload
37,1111,,1756498789796248,1756498789796373,1756498789875028,1756498790181534,1756498789767234,1756498790150181,125,306506,76316,382947,306489,57896,18,1920,1080,yolov5m,offload
40,1201,,1756498790101207,1756498790101333,1756498790182822,1756498790494715,1756498790072317,1756498790463400,126,311893,79064,391083,311876,57794,17,1920,1080,yolov5m,offload
43,1291,,1756498790405196,1756498790405327,1756498790496125,1756498790804863,1756498790376087,1756498790775204,131,308738,90248,399117,308721,57597,18,1920,1080,yolov5m,offload
46,1381,,1756498790709169,1756498790709301,1756498790806174,1756498791112845,1756498790680177,1756498791082094,132,306671,95114,401917,306651,59230,25,1920,1080,yolov5m,offload
