sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
111,3331,,1756489863984879,1756489863985006,1756489864059822,1756489864195852,1756489864002812,1756489864203413,127,136030,64444,200601,136012,60710,23,1920,1080,yolov5n,offload
113,3391,,1756489864119928,1756489864120050,1756489864196163,1756489864332500,1756489864137204,1756489864338586,122,136337,64923,201382,136318,59971,25,1920,1080,yolov5n,offload
115,3451,,1756489864254159,1756489864254278,1756489864332758,1756489864468038,1756489864271397,1756489864474415,119,135280,67619,203018,135265,59288,18,1920,1080,yolov5n,offload
117,3511,,1756489864388913,1756489864389035,1756489864468304,1756489864605917,1756489864406228,1756489864612985,122,137613,69022,206757,137598,59033,16,1920,1080,yolov5n,offload
119,3571,,1756489864521699,1756489864521820,1756489864606215,1756489864741720,1756489864542069,1756489864748257,121,135505,70562,206188,135490,59554,18,1920,1080,yolov5n,offload
121,3631,,1756489864658783,1756489864658918,1756489864741988,1756489864877261,1756489864676547,1756489864883620,135,135273,71665,207073,135258,59016,16,1920,1080,yolov5n,offload
123,3691,,1756489864793757,1756489864793877,1756489864877547,1756489865012295,1756489864811658,1756489865018748,120,134748,72222,207090,134733,58801,15,1920,1080,yolov5n,offload
125,3751,,1756489864929845,1756489864929967,1756489865012649,1756489865147388,1756489864946276,1756489865154640,122,134739,73503,208364,134725,58055,16,1920,1080,yolov5n,offload
127,3811,,1756489865063532,1756489865063649,1756489865147686,1756489865285199,1756489865081429,1756489865292290,117,137513,73231,210861,137498,58266,15,1920,1080,yolov5n,offload
129,3871,,1756489865199105,1756489865199223,1756489865285463,1756489865425951,1756489865216336,1756489865432490,118,140488,75548,216154,140474,58256,15,1920,1080,yolov5n,offload
131,3931,,1756489865334034,1756489865334152,1756489865426236,1756489865561243,1756489865351964,1756489865568161,118,135007,81072,216197,134994,58157,12,1920,1080,yolov5n,offload
133,3991,,1756489865466565,1756489865466682,1756489865561875,1756489865696315,1756489865487175,1756489865703090,117,134440,81358,215915,134426,58018,13,1920,1080,yolov5n,offload
135,4051,,1756489865604635,1756489865604754,1756489865696648,1756489865833836,1756489865621857,1756489865842267,119,137188,83103,220410,137173,57876,13,1920,1080,yolov5n,offload
137,4111,,1756489865738613,1756489865738736,1756489865834094,1756489865969068,1756489865755781,1756489865976420,123,134974,85542,220639,134959,58674,13,1920,1080,yolov5n,offload
139,4171,,1756489865869367,1756489865869484,1756489865969338,1756489866106543,1756489865889657,1756489866112904,117,137205,85925,223247,137190,58692,18,1920,1080,yolov5n,offload
141,4231,,1756489866006592,1756489866006713,1756489866106857,1756489866246234,1756489866023820,1756489866252744,121,139377,89426,228924,139362,59102,18,1920,1080,yolov5n,offload
143,4291,,1756489866139434,1756489866139561,1756489866246639,1756489866381691,1756489866157383,1756489866388271,127,135052,95709,230888,135036,58329,16,1920,1080,yolov5n,offload
145,4351,,1756489866276909,1756489866277023,1756489866381933,1756489866516451,1756489866292425,1756489866522809,114,134518,95752,230384,134487,57984,11,1920,1080,yolov5n,offload
147,4411,,1756489866410923,1756489866411039,1756489866516709,1756489866650630,1756489866427953,1756489866659101,116,133921,97111,231148,133908,58051,11,1920,1080,yolov5n,offload
149,4471,,1756489866544518,1756489866544637,1756489866650972,1756489866786779,1756489866562456,1756489866794277,119,135807,95895,231821,135794,58188,12,1920,1080,yolov5n,offload
151,4531,,1756489866681989,1756489866682106,1756489866787043,1756489866924270,1756489866697788,1756489866931222,117,137227,96090,233434,137214,57274,13,1920,1080,yolov5n,offload
153,4591,,1756489866819122,1756489866819241,1756489866924964,1756489867059345,1756489866831763,1756489867066300,119,134381,100037,234537,134369,57485,10,1920,1080,yolov5n,offload
155,4651,,1756489866951211,1756489866951326,1756489867059572,1756489867195834,1756489866965618,1756489867202579,115,136262,100584,236961,136249,57657,13,1920,1080,yolov5n,offload
157,4711,,1756489867082687,1756489867082807,1756489867196500,1756489867332745,1756489867099691,1756489867339405,120,136245,103349,239714,136232,58789,11,1920,1080,yolov5n,offload
159,4771,,1756489867222950,1756489867223072,1756489867333005,1756489867469964,1756489867233972,1756489867476504,122,136959,105451,242532,136945,58662,13,1920,1080,yolov5n,offload
161,4831,,1756489867351358,1756489867351477,1756489867470596,1756489867607732,1756489867368802,1756489867614289,119,137136,108232,245487,137122,58193,13,1920,1080,yolov5n,offload
163,4891,,1756489867486538,1756489867486658,1756489867608116,1756489867744338,1756489867504184,1756489867750883,120,136222,110357,246699,136209,57839,11,1920,1080,yolov5n,offload
165,4951,,1756489867621459,1756489867621585,1756489867744683,1756489867882610,1756489867639976,1756489867889134,126,137927,111105,249158,137911,59033,16,1920,1080,yolov5n,offload
168,5041,,1756489867821482,1756489867821606,1756489867882832,1756489868020631,1756489867842296,1756489868027235,124,137799,47016,184939,137782,60450,18,1920,1080,yolov5n,offload
169,5071,,1756489867891203,1756489867891328,1756489868021003,1756489868159406,1756489867909568,1756489868165850,125,138403,117754,256282,138384,60763,20,1920,1080,yolov5n,offload
172,5161,,1756489868093646,1756489868093766,1756489868159653,1756489868295239,1756489868111380,1756489868301729,120,135586,54643,190349,135568,59994,21,1920,1080,yolov5n,offload
174,5221,,1756489868229153,1756489868229273,1756489868295477,1756489868433454,1756489868246931,1756489868439805,120,137977,54777,192874,137963,61154,16,1920,1080,yolov5n,offload
176,5281,,1756489868365091,1756489868365212,1756489868433755,1756489868568729,1756489868382899,1756489868575155,121,134974,57161,192256,134960,59831,16,1920,1080,yolov5n,offload
178,5341,,1756489868500789,1756489868500913,1756489868568980,1756489868704016,1756489868518031,1756489868710537,124,135036,57346,192506,135020,58711,17,1920,1080,yolov5n,offload
180,5401,,1756489868634355,1756489868634477,1756489868704271,1756489868843054,1756489868652073,1756489868849734,122,138783,58756,197661,138764,59618,23,1920,1080,yolov5n,offload
182,5461,,1756489868770396,1756489868770520,1756489868843319,1756489868979871,1756489868788012,1756489868986526,124,136552,61838,198514,136534,59665,23,1920,1080,yolov5n,offload
184,5521,,1756489868906181,1756489868906304,1756489868980113,1756489869115369,1756489868923946,1756489869121810,123,135256,62485,197864,135239,58672,20,1920,1080,yolov5n,offload
186,5581,,1756489869041741,1756489869041863,1756489869115676,1756489869250951,1756489869059516,1756489869257325,122,135275,62412,197809,135258,58797,20,1920,1080,yolov5n,offload
188,5641,,1756489869177029,1756489869177160,1756489869251187,1756489869389644,1756489869194795,1756489869397236,131,138457,63853,202441,138442,57380,16,1920,1080,yolov5n,offload
190,5701,,1756489869310620,1756489869310742,1756489869390308,1756489869524247,1756489869328458,1756489869530873,122,133939,68354,202415,133926,57192,13,1920,1080,yolov5n,offload
192,5761,,1756489869444342,1756489869444461,1756489869524563,1756489869658800,1756489869463946,1756489869665805,119,134237,67503,201859,134223,57182,15,1920,1080,yolov5n,offload
194,5821,,1756489869586234,1756489869586358,1756489869659289,1756489869794323,1756489869599604,1756489869801463,124,135034,66701,201859,135020,57861,19,1920,1080,yolov5n,offload
196,5881,,1756489869721230,1756489869721351,1756489869794632,1756489869929625,1756489869734832,1756489869936326,121,134993,66380,201494,134977,57832,19,1920,1080,yolov5n,offload
198,5941,,1756489869851168,1756489869851291,1756489869929944,1756489870068412,1756489869868989,1756489870074806,123,138468,67226,205817,138449,57828,23,1920,1080,yolov5n,offload
