sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
420,12601,,1756491860326250,,,,1756491860349529,1756491862365516,0,0,218456,2015987,1797531,57050,15,1920,1080,yolov5s,local
429,12871,,1756491862137095,,,,1756491862160238,1756491864150801,0,0,197957,1990563,1792606,57413,11,1920,1080,yolov5s,local
438,13141,,1756491863952519,,,,1756491863975214,1756491865993946,0,0,224587,2018732,1794145,57281,13,1920,1080,yolov5s,local
447,13411,,1756491865765952,,,,1756491865787280,1756491867710335,0,0,129157,1923055,1793898,58703,18,1920,1080,yolov5s,local
456,13681,,1756491867576607,,,,1756491867599953,1756491869576645,0,0,183282,1976692,1793410,57994,16,1920,1080,yolov5s,local
465,13951,,1756491869390438,,,,1756491869413517,1756491871316481,0,0,109897,1902964,1793067,58255,17,1920,1080,yolov5s,local
474,14221,,1756491871202362,,,,1756491871225394,1756491873160363,0,0,142294,1934969,1792675,58392,15,1920,1080,yolov5s,local
483,14491,,1756491873012680,,,,1756491873038996,1756491874881091,0,0,48333,1842095,1793762,57694,17,1920,1080,yolov5s,local
492,14761,,1756491874829619,,,,1756491874852480,1756491876675303,0,0,28728,1822823,1794095,58092,21,1920,1080,yolov5s,local
501,15031,,1756491876640671,,,,1756491876663745,1756491878480317,0,0,23647,1816572,1792925,58106,18,1920,1080,yolov5s,local
509,15271,,1756491878252397,,,,1756491878275154,1756491880268028,0,0,197779,1992874,1795095,58725,19,1920,1080,yolov5s,local
518,15541,,1756491880065683,,,,1756491880089298,1756491882105430,0,0,210037,2016132,1806095,57366,18,1920,1080,yolov5s,local
527,15811,,1756491881884123,,,,1756491881901728,1756491883912521,0,0,217789,2010793,1793004,59597,20,1920,1080,yolov5s,local
536,16081,,1756491883690153,,,,1756491883713520,1756491885730335,0,0,212316,2016815,1804499,58402,18,1920,1080,yolov5s,local
545,16351,,1756491885501557,,,,1756491885524490,1756491887496577,0,0,181468,1972087,1790619,57478,17,1920,1080,yolov5s,local
554,16621,,1756491887314623,,,,1756491887338053,1756491889339808,0,0,200242,2001755,1801513,58814,22,1920,1080,yolov5s,local
563,16891,,1756491889134696,,,,1756491889151723,1756491891080685,0,0,123129,1928962,1805833,59225,25,1920,1080,yolov5s,local
572,17161,,1756491890940949,,,,1756491890964617,1756491892923958,0,0,155724,1959341,1803617,60697,21,1920,1080,yolov5s,local
581,17431,,1756491892752898,,,,1756491892776448,1756491894655424,0,0,98728,1878976,1780248,60097,15,1920,1080,yolov5s,local
590,17701,,1756491894570950,,,,1756491894589179,1756491896508876,0,0,123865,1919697,1795832,61992,22,1920,1080,yolov5s,local
599,17971,,1756491896379382,,,,1756491896402584,1756491898352057,0,0,138551,1949473,1810922,60715,27,1920,1080,yolov5s,local
